id_product,model,descripcion ,suppliers,blands,2024-09-24 00:00:00,2024-09-25 00:00:00,2024-09-26 00:00:00,2024-09-27 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00,2024-09-30 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-10-03 00:00:00,2024-10-04 00:00:00,2024-10-05 00:00:00,2024-10-06 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2024-10-09 00:00:00,2024-10-10 00:00:00,2024-10-11 00:00:00,2024-10-12 00:00:00,2024-10-13 00:00:00,2024-10-14 00:00:00,2024-10-15 00:00:00,2024-10-16 00:00:00,2024-10-17 00:00:00,2024-10-18 00:00:00,2024-10-19 00:00:00,2024-10-20 00:00:00,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-23 00:00:00,2024-10-24 00:00:00,2024-10-25 00:00:00,2024-10-26 00:00:00,2024-10-27 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,2024-10-30 00:00:00,2024-10-31 00:00:00,2024-11-01 00:00:00,2024-11-02 00:00:00
ID-00000011,250650002,GRUPO ELECTROGENO 6500 ZONGSHEN,FIASA S.A.I.C Y F.,ZONGSHEN,10,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,
ID-00000012,250101111,GRUPO ELECTROGENO 4000 ZONGSHEN,FIASA S.A.I.C Y F.,ZONGSHEN,14,15.0,14.0,14.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,13.0,12.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,7.0,,
ID-00000013,S6,"TUBO HEXAGONAL DE 1/2"" 6 MM",ITURRIA S.A,BAHCO,15,24.0,22.0,22.0,20.0,19.0,19.0,19.0,28.0,28.0,28.0,26.0,26.0,24.0,24.0,32.0,32.0,41.0,40.0,40.0,39.0,39.0,39.0,48.0,47.0,45.0,45.0,45.0,45.0,54.0,54.0,54.0,54.0,53.0,62.0,62.0,62.0,62.0,,
ID-00000014,S10,"TUBO ESTRIADO  DE 1/2"" 10 MM",ITURRIA S.A,BAHCO,19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,19.0,18.0,18.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,16.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,17.0,17.0,16.0,16.0,,
ID-00000015,S12,"TUBO ESTRIADO DE 1/2"" 12 MM",ITURRIA S.A,BAHCO,15,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,17.0,17.0,17.0,17.0,16.0,18.0,18.0,20.0,19.0,19.0,19.0,18.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,,
ID-00000016,S13,"TUBO ESTRIADO  DE 1/2"" 13 MM",ITURRIA S.A,BAHCO,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,,
ID-00000017,S14,"TUBO ESTRIADO  DE 1/2"" 14 MM",ITURRIA S.A,BAHCO,19,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0,11.0,11.0,11.0,8.0,8.0,8.0,8.0,,
ID-00000018,S15,"TUBO ESTRIADO  DE 1/2"" 15 MM",ITURRIA S.A,BAHCO,10,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,,
ID-00000019,S17,"TUBO ESTRIADO  DE 1/2"" DE 17 MM",ITURRIA S.A,BAHCO,20,20.0,18.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,,
ID-00000020,S19,"TUBO ESTRIADO DE 1/2"" DE 19 MM",ITURRIA S.A,BAHCO,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,8.0,8.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,,
ID-00000021,SX12P,"TUBO HEXAGONAL  DE 1/2"" DE 1/2""",ITURRIA S.A,BAHCO,15,19.0,19.0,19.0,19.0,19.0,19.0,19.0,23.0,23.0,23.0,22.0,22.0,21.0,21.0,25.0,25.0,29.0,29.0,29.0,29.0,29.0,29.0,33.0,33.0,33.0,33.0,33.0,33.0,37.0,37.0,37.0,37.0,36.0,40.0,40.0,40.0,40.0,,
ID-00000022,S5/16,"TUBO HEXAGONAL  DE 1/2"" DE 5/16""",ITURRIA S.A,BAHCO,11,17.0,15.0,13.0,11.0,10.0,10.0,10.0,16.0,16.0,16.0,14.0,14.0,12.0,12.0,18.0,18.0,24.0,22.0,22.0,22.0,22.0,22.0,28.0,28.0,28.0,27.0,26.0,26.0,32.0,32.0,32.0,32.0,32.0,38.0,38.0,38.0,38.0,,
ID-00000023,,ANULAR,ITURRIA S.A,BAHCO,12,13.0,13.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,,
ID-00000024,SX11,"TUBO HEXAGONAL  DE 1/2"" DE 11 MM",ITURRIA S.A,BAHCO,19,22.0,22.0,21.0,21.0,21.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,20.0,20.0,22.0,22.0,25.0,25.0,25.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0,27.0,27.0,27.0,27.0,25.0,28.0,28.0,28.0,28.0,,
ID-00000025,TS1658,"TUBO SACA BUJIA DE 1/2"" DE 16 MM / 5/8""",ITURRIA S.A,BAHCO,10,12.0,12.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,13.0,,
ID-00000026,TS2113/16,"TUBO SACA BUJIA DE 1/2"" DE 21 MM / 13/16",ITURRIA S.A,BAHCO,14,14.0,14.0,14.0,14.0,13.0,13.0,13.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
ID-00000027,S11/16,"TUBO ESTRIADO DE 1/2"" DE 11/16""",ITURRIA S.A,BAHCO,11,14.0,14.0,14.0,14.0,12.0,10.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,14.0,17.0,16.0,16.0,15.0,14.0,14.0,17.0,17.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,,
ID-00000028,S7,"TUBO HEXAGONAL DE 1/2"" DE 7 MM",ITURRIA S.A,BAHCO,17,20.0,20.0,20.0,20.0,20.0,20.0,19.0,24.0,24.0,24.0,24.0,24.0,22.0,20.0,25.0,25.0,30.0,30.0,30.0,29.0,29.0,29.0,34.0,34.0,34.0,33.0,33.0,32.0,37.0,37.0,37.0,35.0,35.0,40.0,40.0,40.0,40.0,,
ID-00000029,S8,"TUBO HEXAGONAL DE 1/2"" DE 8 MM",ITURRIA S.A,BAHCO,10,18.0,18.0,18.0,17.0,17.0,16.0,16.0,24.0,24.0,23.0,23.0,23.0,23.0,21.0,27.0,27.0,35.0,35.0,35.0,35.0,35.0,35.0,43.0,43.0,42.0,42.0,42.0,42.0,50.0,50.0,49.0,48.0,48.0,56.0,56.0,56.0,54.0,,
ID-00000030,S9,"TUBO HEXAGONAL DE 1/2"" DE 9 MM",ITURRIA S.A,BAHCO,12,19.0,19.0,17.0,17.0,17.0,17.0,16.0,23.0,22.0,22.0,22.0,21.0,21.0,21.0,28.0,28.0,33.0,31.0,31.0,31.0,31.0,30.0,37.0,37.0,37.0,35.0,33.0,33.0,39.0,39.0,39.0,39.0,39.0,46.0,46.0,46.0,43.0,,
ID-00000031,S11,"TUBO ESTRIADO DE 1/2"" DE 11 MM",ITURRIA S.A,BAHCO,16,20.0,20.0,20.0,20.0,20.0,18.0,18.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,25.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,31.0,30.0,30.0,30.0,30.0,30.0,34.0,34.0,34.0,34.0,34.0,38.0,38.0,38.0,38.0,,
ID-00000032,S16,"TUBO ESTRIADO DE 1/2"" DE 16 MM",ITURRIA S.A,BAHCO,12,14.0,14.0,14.0,14.0,14.0,14.0,12.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0,16.0,18.0,17.0,17.0,16.0,16.0,18.0,18.0,16.0,15.0,,
ID-00000033,S18,"TUBO ESTRIADO DE 1/2"" DE 18 MM",ITURRIA S.A,BAHCO,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,13.0,13.0,13.0,12.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,,
ID-00000034,S20,"TUBO ESTRIADO DE 1/2"" DE 20 MM",ITURRIA S.A,BAHCO,15,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,,
ID-00000035,S21,"TUBO ESTRIADO DE 1/2"" DE 21 MM",ITURRIA S.A,BAHCO,14,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,6.0,6.0,,
ID-00000036,S22,"TUBO ESTRIADO DE 1/2"" DE 22 MM",ITURRIA S.A,BAHCO,15,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,27.0,26.0,26.0,26.0,,
ID-00000037,S23,"TUBO ESTRIADO DE 1/2"" DE 23 MM",ITURRIA S.A,BAHCO,18,18.0,18.0,16.0,16.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
ID-00000038,S24,"TUBO ESTRIADO DE 1/2"" DE 24 MM",ITURRIA S.A,BAHCO,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,17.0,15.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,
ID-00000039,S25,"TUBO ESTRIADO DE 1/2"" DE 25 MM",ITURRIA S.A,BAHCO,10,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,7.0,,
ID-00000040,S26,"TUBO ESTRIADO DE 1/2"" DE 26 MM",ITURRIA S.A,BAHCO,13,14.0,14.0,14.0,14.0,12.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,7.0,5.0,,
ID-00000041,S27,"TUBO ESTRIADO DE 1/2"" DE 27 MM",ITURRIA S.A,BAHCO,10,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,10.0,10.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,,
ID-00000042,S28,"TUBO ESTRIADO DE 1/2"" DE 28 MM",ITURRIA S.A,BAHCO,10,11.0,11.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,,
ID-00000043,SX10,"TUBO HEXAGONAL DE 1/2"" DE 10 MM",ITURRIA S.A,BAHCO,16,19.0,18.0,18.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,18.0,21.0,20.0,20.0,20.0,20.0,20.0,23.0,22.0,22.0,21.0,21.0,21.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,,
ID-00000044,SX12,"TUBO HEXAGONAL DE 1/2"" DE 12 MM",ITURRIA S.A,BAHCO,17,22.0,22.0,20.0,20.0,18.0,18.0,18.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,27.0,27.0,32.0,32.0,31.0,31.0,31.0,31.0,36.0,36.0,36.0,36.0,35.0,35.0,40.0,40.0,40.0,40.0,40.0,45.0,45.0,45.0,45.0,,
ID-00000045,SX13,"TUBO HEXAGONAL DE 1/2"" DE 13 MM",ITURRIA S.A,BAHCO,10,14.0,12.0,12.0,10.0,9.0,9.0,9.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,15.0,15.0,17.0,16.0,14.0,13.0,13.0,11.0,15.0,15.0,14.0,14.0,14.0,14.0,18.0,18.0,18.0,16.0,16.0,20.0,20.0,20.0,17.0,,
ID-00000046,SX14,"TUBO HEXAGONAL DE 1/2"" DE 14 MM",ITURRIA S.A,BAHCO,10,11.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,,
ID-00000047,SX15,"TUBO HEXAGONAL DE 1/2"" DE 15 MM",ITURRIA S.A,BAHCO,16,19.0,19.0,17.0,17.0,17.0,17.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,28.0,28.0,28.0,28.0,28.0,31.0,31.0,31.0,31.0,,
ID-00000048,SX16,"TUBO HEXAGONAL DE 1/2"" DE 16 MM",ITURRIA S.A,BAHCO,15,18.0,16.0,14.0,14.0,12.0,12.0,10.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,14.0,12.0,15.0,15.0,15.0,15.0,15.0,14.0,17.0,16.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,18.0,18.0,,
ID-00000049,SX17,"TUBO HEXAGONAL DE 1/2"" DE 17 MM",ITURRIA S.A,BAHCO,16,17.0,16.0,16.0,16.0,16.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,14.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,,
ID-00000050,SX18,"TUBO HEXAGONAL DE 1/2"" DE 18 MM",ITURRIA S.A,BAHCO,16,19.0,19.0,18.0,18.0,18.0,17.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,24.0,24.0,24.0,24.0,24.0,22.0,25.0,25.0,25.0,25.0,25.0,23.0,26.0,26.0,26.0,26.0,26.0,29.0,29.0,29.0,29.0,,
ID-00000051,SX19,"TUBO HEXAGONAL DE 1/2"" DE 19 MM",ITURRIA S.A,BAHCO,16,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,20.0,20.0,22.0,22.0,22.0,21.0,21.0,21.0,23.0,23.0,23.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,23.0,25.0,25.0,25.0,25.0,,
ID-00000052,SX20,"TUBO HEXAGONAL DE 1/2"" DE 20 MM",ITURRIA S.A,BAHCO,19,22.0,22.0,22.0,22.0,22.0,21.0,21.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,27.0,26.0,29.0,29.0,29.0,27.0,27.0,27.0,30.0,30.0,30.0,30.0,30.0,30.0,33.0,33.0,31.0,31.0,29.0,31.0,31.0,30.0,28.0,,
ID-00000053,SX21,"TUBO HEXAGONAL DE 1/2"" DE 21 MM",ITURRIA S.A,BAHCO,10,13.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,14.0,12.0,12.0,12.0,12.0,11.0,14.0,14.0,15.0,13.0,13.0,13.0,13.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0,17.0,17.0,15.0,15.0,17.0,17.0,17.0,17.0,,
ID-00000054,SX22,"TUBO HEXAGONAL DE 1/2"" DE 22 MM",ITURRIA S.A,BAHCO,19,22.0,22.0,20.0,20.0,20.0,20.0,20.0,23.0,23.0,21.0,21.0,19.0,19.0,19.0,22.0,22.0,25.0,23.0,23.0,21.0,21.0,21.0,24.0,24.0,24.0,24.0,24.0,24.0,27.0,27.0,27.0,25.0,25.0,28.0,28.0,25.0,25.0,,
ID-00000055,SX23,"TUBO HEXAGONAL DE 1/2"" DE 23 MM",ITURRIA S.A,BAHCO,17,19.0,17.0,17.0,17.0,15.0,15.0,15.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,21.0,21.0,24.0,24.0,24.0,24.0,23.0,21.0,24.0,24.0,24.0,22.0,22.0,22.0,25.0,25.0,25.0,24.0,24.0,27.0,27.0,27.0,27.0,,
ID-00000056,SX24,"TUBO HEXAGONAL DE 1/2"" DE 24 MM",ITURRIA S.A,BAHCO,11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,,
ID-00000057,SX25,"TUBO HEXAGONAL DE 1/2"" DE 25 MM",ITURRIA S.A,BAHCO,16,19.0,19.0,19.0,19.0,19.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,31.0,31.0,31.0,31.0,31.0,29.0,32.0,32.0,32.0,32.0,32.0,35.0,35.0,35.0,34.0,,
ID-00000058,SX26,"TUBO HEXAGONAL DE 1/2"" DE 26 MM",ITURRIA S.A,BAHCO,17,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,26.0,25.0,28.0,28.0,28.0,28.0,26.0,26.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,32.0,30.0,28.0,28.0,31.0,31.0,29.0,26.0,,
ID-00000059,SX27,"TUBO HEXAGONAL DE 1/2"" DE 27 MM",ITURRIA S.A,BAHCO,15,15.0,15.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,,
ID-00000060,SX28,"TUBO HEXAGONAL DE 1/2"" DE 28 MM",ITURRIA S.A,BAHCO,20,22.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,22.0,22.0,22.0,24.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,22.0,24.0,24.0,24.0,24.0,22.0,24.0,24.0,24.0,24.0,,
ID-00000061,SX1/2,"TUBO HEXAGONAL DE 1/2"" DE 1/2""",ITURRIA S.A,BAHCO,11,16.0,16.0,16.0,16.0,15.0,15.0,15.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,22.0,22.0,27.0,27.0,27.0,27.0,27.0,26.0,30.0,30.0,29.0,29.0,29.0,29.0,34.0,34.0,33.0,33.0,33.0,38.0,38.0,36.0,36.0,,
ID-00000062,SX7/16,"TUBO HEXAGONAL DE 1/2"" DE 7/16""",ITURRIA S.A,BAHCO,14,17.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,17.0,16.0,16.0,16.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,25.0,23.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,21.0,23.0,23.0,23.0,23.0,,
